Order ID;Date;Product;Category; Purchase Price ; Sale Price ; Profit ;Quantity;Order Status;Delivery Date;Delivery Time (Days);Delivery Cost; Revenue ;Salesperson;Customer Name;Gender;Age;Age Group;State;Country
1023;17/08/2022;Sandles;Footwear; 50 ; 71 ; 816 ;39;Delivered;18/08/2022;1;3; 819 ;Arnold Fazer;Lonnie Spencer;Male;52;Senior;Atlanta;United States
1024;27/07/2022;Refrigerator;Appliances; 81 ; 95 ; 26 ;2;Delivered;03/08/2022;7;2; 28 ;David Willy;Lisa Miller;Male;52;Senior;San Francisco;United States
1025;20/04/2022;Sneakers;Footwear; 93 ; 125 ; 446 ;14;Delivered;24/04/2022;4;2; 448 ;David Willy;Cindy Carter;Male;57;Senior;Los Angeles;United States
1026;06/06/2022;Sneakers;Footwear; 46 ; 73 ; 970 ;36;Delivered;08/06/2022;2;2; 972 ;Lisa Rizi;Michael Shaw;Male;24;Young;Seattle;United States
1027;15/12/2022;Jeans;Clothing; 46 ; 58 ; 416 ;35;Delivered;18/12/2022;3;4; 420 ;Chris Jordan;Steven Brown;Male;65;Senior;San Francisco;United States
1028;06/11/2022;Refrigerator;Appliances; 44 ; 79 ; 1.501 ;43;Delivered;09/11/2022;3;4; 1.505 ;Arnold Fazer;Robert Goodman;Male;59;Senior;Seattle;United States
1029;10/09/2022;Sandles;Footwear; 49 ; 83 ; 1.016 ;30;Delivered;13/09/2022;3;4; 1.020 ;Lisa Rizi;Renee Morgan;Male;59;Senior;Seattle;United States
1030;23/06/2022;Watch;Accessories; 49 ; 72 ; 43 ;2;Delivered;27/06/2022;4;3; 46 ;Chris Jordan;Amy Wright;Male;29;Young;Washington, D.C.;United States
1031;03/10/2022;Sandles;Footwear; 30 ; 47 ; 115 ;7;Delivered;08/10/2022;5;4; 119 ;Lisa Rizi;Karen Wright;Male;28;Young;Houston;United States
1032;06/12/2022;Sneakers;Footwear; 83 ; 106 ; 663 ;29;Delivered;12/12/2022;6;4; 667 ;Arnold Fazer;Gilbert Martin;Male;26;Young;Chicago;United States
1033;23/04/2022;Sneakers;Footwear; 56 ; 85 ; 403 ;14;Delivered;26/04/2022;3;3; 406 ;Lisa Rizi;Lori Watson;Male;46;Middle Age;Los Angeles;United States
1034;10/03/2022;Jeans;Clothing; 40 ; 51 ; 171 ;16;Delivered;17/03/2022;7;5; 176 ;Emily Lizz;Ashley Savage;Male;29;Young;Chicago;United States
1035;28/09/2022;Watch;Accessories; 83 ; 101 ; 32 ;2;Delivered;01/10/2022;3;4; 36 ;Lisa Rizi;Lauren Parsons;Male;45;Middle Age;Los Angeles;United States
1036;01/10/2022;Laptop;Electronics; 92 ; 109 ; 218 ;13;Delivered;07/10/2022;6;3; 221 ;Chris Jordan;Nicholas Sullivan;Male;20;Young;Atlanta;United States
1037;29/03/2022;Sneakers;Footwear; 91 ; 108 ; 472 ;28;Delivered;05/04/2022;7;4; 476 ;Emily Lizz;Gary Carr;Male;42;Middle Age;Washington, D.C.;United States
1038;03/09/2022;Sandles;Footwear; 63 ; 90 ; 131 ;5;Delivered;09/09/2022;2;4; 135 ;David Willy;Richard Carlson;Male;37;Middle Age;Washington, D.C.;United States
1039;17/11/2022;Laptop;Electronics; 36 ; 76 ; 116 ;3;Delivered;23/11/2022;6;4; 120 ;Lisa Rizi;Bruce Smith;Male;34;Middle Age;Seattle;United States
1040;30/03/2022;Watch;Accessories; 26 ; 57 ; 618 ;20;Delivered;02/04/2022;3;2; 620 ;Chris Jordan;Chase Evans;Male;37;Middle Age;Seattle;United States
1041;17/02/2022;Sneakers;Footwear; 37 ; 73 ; 1.580 ;44;Delivered;22/02/2022;5;4; 1.584 ;Arnold Fazer;David Elliott;Male;50;Middle Age;Chicago;United States
1042;23/07/2022;Refrigerator;Appliances; 35 ; 60 ; 1.097 ;44;Delivered;26/07/2022;3;3; 1.100 ;Arnold Fazer;Mark Mcguire;Male;46;Middle Age;Miami;United States
1043;13/04/2022;Refrigerator;Appliances; 94 ; 117 ; 964 ;42;Delivered;15/04/2022;2;2; 966 ;David Willy;Sara Diaz;Male;65;Senior;Los Angeles;United States
1044;30/04/2022;Smartphone;Electronics; 42 ; 78 ; 139 ;4;Delivered;03/05/2022;3;5; 144 ;Lisa Rizi;Allen Fisher;Male;35;Middle Age;Miami;United States
1045;18/12/2022;Sneakers;Footwear; 72 ; 90 ; 322 ;18;Delivered;19/12/2022;1;2; 324 ;David Willy;Timothy Brown;Male;28;Young;Houston;United States
1046;14/09/2022;Sneakers;Footwear; 86 ; 111 ; 820 ;33;Delivered;18/09/2022;4;5; 825 ;Lisa Rizi;Justin Stevens;Male;62;Senior;Houston;United States
1047;08/07/2022;Smartphone;Electronics; 96 ; 125 ; 780 ;27;Delivered;15/07/2022;7;3; 783 ;Arnold Fazer;Kristen Ferguson;Male;23;Young;Chicago;United States
1048;19/11/2022;Sandles;Footwear; 93 ; 105 ; 511 ;43;Delivered;25/11/2022;2;5; 516 ;Arnold Fazer;Erica Jimenez;Male;46;Middle Age;San Francisco;United States
1049;25/02/2022;Refrigerator;Appliances; 23 ; 46 ; 825 ;36;Delivered;02/03/2022;5;3; 828 ;Lisa Rizi;David Turner;Male;19;Young;Seattle;United States
1050;18/01/2022;Refrigerator;Appliances; 92 ; 122 ; 295 ;10;Delivered;23/01/2022;5;5; 300 ;David Willy;Jennifer Martinez;Male;25;Young;Boston;United States
1051;05/05/2022;T-shirt;Clothing; 99 ; 109 ; 128 ;13;Delivered;06/05/2022;1;2; 130 ;Arnold Fazer;Nicholas Kelley;Male;17;Young;Houston;United States
1052;02/08/2022;Sandles;Footwear; 93 ; 121 ; 222 ;8;Delivered;05/08/2022;3;2; 224 ;Lisa Rizi;Morgan Campbell;Male;57;Senior;San Francisco;United States
1053;03/09/2022;TV;Electronics; 23 ; 44 ; 1.003 ;48;Delivered;06/09/2022;3;5; 1.008 ;Chris Jordan;Andrea Ballard;Male;18;Young;Los Angeles;United States
1054;17/11/2022;Smartphone;Electronics; 72 ; 102 ; 1.315 ;44;Delivered;21/11/2022;4;5; 1.320 ;Arnold Fazer;Mark Gibson;Male;59;Senior;Houston;United States
1055;27/04/2022;Laptop;Electronics; 20 ; 30 ; 308 ;31;Delivered;30/04/2022;3;2; 310 ;Arnold Fazer;Nicole George;Male;48;Middle Age;Washington, D.C.;United States
1056;10/01/2022;TV;Electronics; 47 ; 62 ; 521 ;35;Delivered;14/01/2022;4;4; 525 ;Arnold Fazer;James Johnson;Male;44;Middle Age;Los Angeles;United States
1057;13/05/2022;Smartphone;Electronics; 64 ; 74 ; 198 ;20;Delivered;20/05/2022;7;2; 200 ;Arnold Fazer;Alexander Cole;Male;17;Young;Seattle;United States
1058;11/03/2022;TV;Electronics; 68 ; 106 ; 1.670 ;44;Delivered;14/03/2022;3;2; 1.672 ;Chris Jordan;Jerome Acosta;Male;57;Senior;Houston;United States
1059;12/07/2022;Sneakers;Footwear; 58 ; 93 ; 837 ;24;Delivered;15/07/2022;3;3; 840 ;Arnold Fazer;Danielle Gray;Male;45;Middle Age;Los Angeles;United States
1060;27/08/2022;Smartphone;Electronics; 29 ; 44 ; 476 ;32;Delivered;03/09/2022;7;4; 480 ;Chris Jordan;Tina Thomas;Male;62;Senior;Chicago;United States
1061;21/07/2022;T-shirt;Clothing; 94 ; 125 ; 429 ;14;Delivered;23/07/2022;1;5; 434 ;Lisa Rizi;Andrew Kim;Male;24;Young;Houston;United States
1062;15/05/2022;Laptop;Electronics; 54 ; 71 ; 677 ;40;Delivered;22/05/2022;7;3; 680 ;Emily Lizz;Dr. Kelly Cooper DDS;Male;35;Middle Age;Miami;United States
1063;07/06/2022;Smartphone;Electronics; 75 ; 93 ; 878 ;49;Delivered;10/06/2022;3;4; 882 ;David Willy;Tammy Marsh;Male;19;Young;Boston;United States
1064;15/02/2022;Sandles;Footwear; 89 ; 110 ; 19 ;1;Delivered;17/02/2022;2;2; 21 ;David Willy;Nathan Chen;Male;28;Young;Chicago;United States
1065;11/09/2022;Laptop;Electronics; 92 ; 113 ; 247 ;12;Delivered;12/09/2022;1;5; 252 ;David Willy;Luis Taylor Jr.;Male;45;Middle Age;Boston;United States
1066;22/01/2022;Smartphone;Electronics; 96 ; 114 ; 67 ;4;Delivered;28/01/2022;6;5; 72 ;Arnold Fazer;Lindsey Rojas;Male;35;Middle Age;Houston;United States
1067;21/05/2022;Sneakers;Footwear; 35 ; 58 ; 273 ;12;Delivered;26/05/2022;5;3; 276 ;Emily Lizz;Mr. Nicholas Hansen;Male;38;Middle Age;Miami;United States
1068;19/11/2022;Sneakers;Footwear; 81 ; 106 ; 770 ;31;Delivered;20/11/2022;1;5; 775 ;Arnold Fazer;Robert Taylor;Male;16;Young;Boston;United States
1069;27/10/2022;Jeans;Clothing; 83 ; 108 ; 747 ;30;Delivered;03/11/2022;7;3; 750 ;Emily Lizz;Paul Zhang;Male;31;Middle Age;Atlanta;United States
1070;17/02/2022;Sandles;Footwear; 59 ; 73 ; 415 ;30;Delivered;23/02/2022;2;5; 420 ;Arnold Fazer;David Harris;Male;58;Senior;San Francisco;United States
1071;26/03/2022;Jeans;Clothing; 95 ; 121 ; 1.194 ;46;Delivered;31/03/2022;5;2; 1.196 ;Lisa Rizi;Edward Baxter;Male;61;Senior;San Francisco;United States
1072;17/05/2022;Laptop;Electronics; 90 ; 108 ; 716 ;40;Delivered;18/05/2022;1;4; 720 ;Chris Jordan;Tammy Schwartz;Male;47;Middle Age;Houston;United States
1073;29/01/2022;Laptop;Electronics; 54 ; 89 ; 1.503 ;43;Delivered;05/02/2022;7;2; 1.505 ;David Willy;Lindsay Griffith;Male;54;Senior;Houston;United States
1074;24/08/2022;Sneakers;Footwear; 52 ; 85 ; 953 ;29;Delivered;29/08/2022;5;4; 957 ;Chris Jordan;John Butler;Male;27;Young;Washington, D.C.;United States
1075;31/05/2022;Smartphone;Electronics; 67 ; 92 ; 548 ;22;Delivered;06/06/2022;6;2; 550 ;David Willy;Alexandria Jackson;Male;43;Middle Age;Atlanta;United States
1076;07/07/2022;Laptop;Electronics; 62 ; 83 ; 1.026 ;49;Delivered;11/07/2022;4;3; 1.029 ;Chris Jordan;Jennifer Hicks;Male;38;Middle Age;Houston;United States
1077;06/02/2022;Refrigerator;Appliances; 75 ; 104 ; 605 ;21;Delivered;09/02/2022;3;4; 609 ;Lisa Rizi;Karen Mcdonald;Male;34;Middle Age;Atlanta;United States
1078;11/10/2022;Jeans;Clothing; 28 ; 38 ; 167 ;17;Delivered;16/10/2022;5;3; 170 ;Arnold Fazer;Taylor Black;Male;49;Middle Age;Chicago;United States
1079;16/12/2022;Sneakers;Footwear; 65 ; 87 ; 457 ;21;Delivered;18/12/2022;2;5; 462 ;Lisa Rizi;Michelle Reyes;Male;48;Middle Age;Seattle;United States
1080;23/08/2022;Laptop;Electronics; 89 ; 129 ; 1.837 ;46;Delivered;24/08/2022;1;3; 1.840 ;Lisa Rizi;Russell Gutierrez;Male;38;Middle Age;Los Angeles;United States
1081;18/04/2022;Smartphone;Electronics; 49 ; 79 ; 867 ;29;Delivered;25/04/2022;7;3; 870 ;Arnold Fazer;Jerry Villanueva;Male;41;Middle Age;Boston;United States
1082;03/04/2022;Refrigerator;Appliances; 96 ; 108 ; 106 ;9;Delivered;10/04/2022;7;2; 108 ;Emily Lizz;Benjamin Rodriguez;Male;30;Young;Atlanta;United States
1083;21/07/2022;Washing Machine;Appliances; 24 ; 39 ; 718 ;48;Delivered;23/07/2022;2;2; 720 ;Emily Lizz;Debra Smith;Male;38;Middle Age;Boston;United States
1084;04/04/2022;Refrigerator;Appliances; 87 ; 125 ; 73 ;2;Delivered;07/04/2022;3;3; 76 ;Emily Lizz;Kimberly Bailey;Male;33;Middle Age;Atlanta;United States
1085;20/02/2022;Watch;Accessories; 91 ; 114 ; 849 ;37;Delivered;22/02/2022;2;2; 851 ;Emily Lizz;John Kennedy;Male;32;Middle Age;San Francisco;United States
1086;29/11/2022;Watch;Accessories; 89 ; 126 ; 367 ;10;Delivered;03/12/2022;4;3; 370 ;David Willy;John Williams;Male;43;Middle Age;Boston;United States
1087;04/02/2022;Washing Machine;Appliances; 56 ; 67 ; 204 ;19;Delivered;06/02/2022;2;5; 209 ;Arnold Fazer;Wendy Ritter;Male;42;Middle Age;Boston;United States
1088;02/04/2022;Washing Machine;Appliances; 39 ; 60 ; 395 ;19;Delivered;06/04/2022;4;4; 399 ;Lisa Rizi;Tommy Zhang;Male;30;Young;Miami;United States
1089;14/05/2022;TV;Electronics; 26 ; 49 ; 596 ;26;Delivered;15/05/2022;1;2; 598 ;Emily Lizz;Emma Mccall;Male;42;Middle Age;San Francisco;United States
1090;30/11/2022;Sandles;Footwear; 99 ; 126 ; 672 ;25;Delivered;01/12/2022;1;3; 675 ;David Willy;Shannon Garcia;Male;29;Young;Chicago;United States
1091;03/12/2022;TV;Electronics; 24 ; 35 ; 260 ;24;Delivered;10/12/2022;7;4; 264 ;Arnold Fazer;Sophia Hernandez;Male;29;Young;Los Angeles;United States
1092;24/11/2022;Washing Machine;Appliances; 25 ; 55 ; 1.136 ;38;Delivered;27/11/2022;3;4; 1.140 ;Lisa Rizi;Crystal Young;Male;56;Senior;Washington, D.C.;United States
1093;01/03/2022;Sandles;Footwear; 49 ; 81 ; 348 ;11;Delivered;06/03/2022;5;4; 352 ;Emily Lizz;Jill Smith DDS;Male;40;Middle Age;Houston;United States
1094;09/09/2022;Sandles;Footwear; 81 ; 118 ; 1.515 ;41;Delivered;15/09/2022;6;2; 1.517 ;Chris Jordan;Amy Rice;Male;36;Middle Age;Houston;United States
1095;12/10/2022;Sandles;Footwear; 55 ; 78 ; 273 ;12;Delivered;19/10/2022;2;3; 276 ;Lisa Rizi;Caitlyn Frank;Male;27;Young;Miami;United States
1096;06/07/2022;Laptop;Electronics; 57 ; 90 ; 987 ;30;Delivered;07/07/2022;1;3; 990 ;David Willy;Natalie Benson;Male;54;Senior;Houston;United States
1097;30/03/2022;TV;Electronics; 27 ; 48 ; 794 ;38;Delivered;05/04/2022;6;4; 798 ;Arnold Fazer;Craig Perez;Male;39;Middle Age;San Francisco;United States
1098;20/06/2022;Sneakers;Footwear; 21 ; 42 ; 1.026 ;49;Delivered;25/06/2022;5;3; 1.029 ;Arnold Fazer;Kathleen Riley;Male;34;Middle Age;San Francisco;United States
1099;18/08/2022;Watch;Accessories; 69 ; 99 ; 1.048 ;35;Delivered;19/08/2022;1;2; 1.050 ;Chris Jordan;Judith Reed;Male;32;Middle Age;Houston;United States
1100;02/08/2022;Refrigerator;Appliances; 44 ; 68 ; 837 ;35;Delivered;06/08/2022;4;3; 840 ;Chris Jordan;Jason Sharp;Male;25;Young;Washington, D.C.;United States
1101;03/06/2022;Jeans;Clothing; 87 ; 123 ; 1.148 ;32;Delivered;06/06/2022;3;4; 1.152 ;David Willy;Brandi Beltran;Male;65;Senior;Atlanta;United States
1102;27/08/2022;Watch;Accessories; 70 ; 105 ; 1.432 ;41;Delivered;29/08/2022;2;3; 1.435 ;Chris Jordan;James Young;Male;57;Senior;Washington, D.C.;United States
1103;19/11/2022;Jeans;Clothing; 92 ; 130 ; 1.630 ;43;Delivered;21/11/2022;2;4; 1.634 ;Lisa Rizi;Stephen Montes;Male;38;Middle Age;New York;United States
1104;23/01/2022;Refrigerator;Appliances; 72 ; 86 ; 304 ;22;Delivered;30/01/2022;7;4; 308 ;Chris Jordan;Carly Scott;Male;24;Young;Los Angeles;United States
1105;23/04/2022;Laptop;Electronics; 45 ; 59 ; 683 ;49;Delivered;29/04/2022;6;3; 686 ;David Willy;Michael Collins;Male;21;Young;Boston;United States
1106;06/05/2022;Jeans;Clothing; 55 ; 77 ; 393 ;18;Delivered;10/05/2022;4;3; 396 ;David Willy;David Terry;Male;16;Young;Washington, D.C.;United States
1107;01/07/2022;Washing Machine;Appliances; 92 ; 118 ; 388 ;15;Delivered;03/07/2022;2;2; 390 ;Arnold Fazer;Linda Mullins;Male;56;Senior;New York;United States
1108;24/08/2022;T-shirt;Clothing; 49 ; 59 ; 188 ;19;Delivered;28/08/2022;1;2; 190 ;Lisa Rizi;Randy Vargas;Male;28;Young;Houston;United States
1109;21/04/2022;Sneakers;Footwear; 29 ; 45 ; 797 ;50;Delivered;25/04/2022;4;3; 800 ;Chris Jordan;Robin Garcia;Male;28;Young;Seattle;United States
1110;05/04/2022;T-shirt;Clothing; 26 ; 40 ; 208 ;15;Delivered;10/04/2022;1;2; 210 ;Chris Jordan;Rebecca Jones;Male;43;Middle Age;Houston;United States
1111;22/02/2022;Sandles;Footwear; 87 ; 116 ; 983 ;34;Delivered;26/02/2022;4;3; 986 ;Lisa Rizi;Susan Lang;Male;22;Young;Seattle;United States
1112;13/06/2022;Washing Machine;Appliances; 85 ; 115 ; 1.346 ;45;Delivered;16/06/2022;3;4; 1.350 ;Emily Lizz;Breanna Rivera;Male;52;Senior;Atlanta;United States
1113;28/04/2022;Jeans;Clothing; 28 ; 52 ; 332 ;14;Delivered;03/05/2022;5;4; 336 ;Chris Jordan;Lance Beasley;Male;64;Senior;Chicago;United States
1114;23/11/2022;Laptop;Electronics; 51 ; 62 ; 295 ;27;Delivered;27/11/2022;4;2; 297 ;Arnold Fazer;Richard Curry;Male;49;Middle Age;San Francisco;United States
1115;21/03/2022;Smartphone;Electronics; 73 ; 90 ; 100 ;6;Delivered;24/03/2022;3;2; 102 ;Chris Jordan;Jorge Jenkins;Male;60;Senior;Seattle;United States
1116;25/01/2022;Refrigerator;Appliances; 53 ; 93 ; 1.236 ;31;Delivered;29/01/2022;4;4; 1.240 ;Lisa Rizi;Miranda Stone;Male;27;Young;Washington, D.C.;United States
1117;15/12/2022;Watch;Accessories; 87 ; 127 ; 915 ;23;Delivered;19/12/2022;4;5; 920 ;Lisa Rizi;Ronald Cruz;Male;56;Senior;New York;United States
1118;29/10/2022;T-shirt;Clothing; 78 ; 111 ; 259 ;8;Delivered;02/11/2022;1;5; 264 ;Emily Lizz;Larry Jordan;Male;58;Senior;Houston;United States
1119;03/07/2022;TV;Electronics; 43 ; 71 ; 1.146 ;41;Delivered;07/07/2022;4;2; 1.148 ;Emily Lizz;Audrey Vasquez;Male;36;Middle Age;Miami;United States
1120;29/10/2022;Washing Machine;Appliances; 100 ; 136 ; 394 ;11;Delivered;31/10/2022;2;2; 396 ;Chris Jordan;Margaret Walker;Male;28;Young;Seattle;United States
1121;03/11/2022;Sneakers;Footwear; 38 ; 61 ; 341 ;15;Delivered;08/11/2022;5;4; 345 ;Chris Jordan;Tracy Johnson;Male;30;Young;Atlanta;United States
1122;05/03/2022;TV;Electronics; 95 ; 135 ; 517 ;13;Delivered;12/03/2022;7;3; 520 ;Chris Jordan;Destiny Mcclain MD;Male;45;Middle Age;Houston;United States
1123;27/05/2022;Washing Machine;Appliances; 52 ; 64 ; 368 ;31;Delivered;30/05/2022;3;4; 372 ;Chris Jordan;Shawn West;Male;24;Young;Houston;United States
1124;24/10/2022;Laptop;Electronics; 66 ; 102 ; 502 ;14;Delivered;27/10/2022;3;2; 504 ;Lisa Rizi;Wanda Hill PhD;Male;57;Senior;New York;United States
1125;17/09/2022;T-shirt;Clothing; 82 ; 111 ; 1.100 ;38;Delivered;18/09/2022;1;2; 1.102 ;Arnold Fazer;Stacey Walker;Male;53;Senior;Houston;United States
1126;03/11/2022;T-shirt;Clothing; 42 ; 53 ; 140 ;13;Delivered;08/11/2022;1;3; 143 ;David Willy;Andrea Santiago;Male;57;Senior;Houston;United States
1127;20/02/2022;Washing Machine;Appliances; 41 ; 78 ; 181 ;5;Delivered;26/02/2022;6;4; 185 ;Lisa Rizi;Nathaniel Brown PhD;Male;32;Middle Age;Atlanta;United States
1128;05/12/2022;TV;Electronics; 60 ; 83 ; 179 ;8;Delivered;12/12/2022;7;5; 184 ;David Willy;David Richardson;Male;40;Middle Age;San Francisco;United States
1129;23/02/2022;Sandles;Footwear; 79 ; 89 ; 195 ;20;Delivered;01/03/2022;2;5; 200 ;Emily Lizz;Lorraine Martinez;Male;60;Senior;Washington, D.C.;United States
1130;11/05/2022;Laptop;Electronics; 53 ; 85 ; 1.182 ;37;Delivered;16/05/2022;5;2; 1.184 ;Arnold Fazer;Karen Harrison;Male;57;Senior;Los Angeles;United States
1131;25/05/2022;Watch;Accessories; 20 ; 46 ; 986 ;38;Delivered;28/05/2022;3;2; 988 ;David Willy;Alyssa Patterson;Male;60;Senior;Los Angeles;United States
1132;03/04/2022;Jeans;Clothing; 37 ; 53 ; 301 ;19;Delivered;09/04/2022;6;3; 304 ;Lisa Rizi;Paul Martin;Male;44;Middle Age;Houston;United States
1133;08/04/2022;Laptop;Electronics; 24 ; 34 ; 328 ;33;Delivered;15/04/2022;7;2; 330 ;David Willy;Jill Burton;Male;27;Young;Los Angeles;United States
1134;14/01/2022;Jeans;Clothing; 53 ; 71 ; 841 ;47;Delivered;18/01/2022;4;5; 846 ;Emily Lizz;Ronnie Weber;Male;17;Young;Miami;United States
1135;20/10/2022;Washing Machine;Appliances; 47 ; 73 ; 1.296 ;50;Delivered;25/10/2022;5;4; 1.300 ;Emily Lizz;Jonathan Cabrera;Male;58;Senior;San Francisco;United States
1136;20/09/2022;Sneakers;Footwear; 59 ; 86 ; 239 ;9;Delivered;26/09/2022;6;4; 243 ;Arnold Fazer;James Wilson;Male;23;Young;Boston;United States
1137;09/09/2022;Sneakers;Footwear; 37 ; 73 ; 70 ;2;Delivered;15/09/2022;6;2; 72 ;Emily Lizz;Ronald Byrd;Male;38;Middle Age;Boston;United States
1138;02/07/2022;Sandles;Footwear; 57 ; 90 ; 457 ;14;Delivered;03/07/2022;1;5; 462 ;Lisa Rizi;Evan Mitchell;Male;31;Middle Age;Los Angeles;United States
1139;23/09/2022;Washing Machine;Appliances; 50 ; 81 ; 57 ;2;Delivered;26/09/2022;3;5; 62 ;Emily Lizz;Andrea Larsen;Male;58;Senior;Chicago;United States
1140;13/02/2022;Laptop;Electronics; 65 ; 105 ; 1.478 ;37;Delivered;17/02/2022;4;2; 1.480 ;Arnold Fazer;Timothy Durham;Male;25;Young;Houston;United States
1141;12/05/2022;Sneakers;Footwear; 36 ; 54 ; 843 ;47;Delivered;15/05/2022;3;3; 846 ;Emily Lizz;Ashley Henry;Male;48;Middle Age;Washington, D.C.;United States
1142;08/11/2022;Smartphone;Electronics; 33 ; 65 ; 1.054 ;33;Delivered;15/11/2022;7;2; 1.056 ;Chris Jordan;Dr. James Gordon;Male;29;Young;Houston;United States
1143;10/03/2022;Sandles;Footwear; 73 ; 101 ; 250 ;9;Delivered;17/03/2022;2;2; 252 ;Emily Lizz;Larry Silva;Male;27;Young;Miami;United States
1144;10/02/2022;T-shirt;Clothing; 80 ; 98 ; 718 ;40;Delivered;12/02/2022;1;2; 720 ;Emily Lizz;Shannon Day;Male;32;Middle Age;Houston;United States
1145;05/01/2022;Smartphone;Electronics; 47 ; 76 ; 605 ;21;Delivered;08/01/2022;3;4; 609 ;Lisa Rizi;Vincent Anderson;Male;45;Middle Age;Washington, D.C.;United States
1146;05/11/2022;Sandles;Footwear; 82 ; 94 ; 513 ;43;Delivered;06/11/2022;1;3; 516 ;Emily Lizz;Kimberly Henderson;Male;45;Middle Age;Seattle;United States
1147;25/08/2022;Washing Machine;Appliances; 24 ; 61 ; 736 ;20;Delivered;01/09/2022;7;4; 740 ;Emily Lizz;Michelle Williams;Male;40;Middle Age;San Francisco;United States
